Referência,Data,Data de check-in,Data de check-out,Aluguer com imposto,Aluguer sem imposto,Imposto do aluguer,Extras com imposto,Extras sem imposto,Imposto dos extras,Total da reserva com imposto,Total da reserva sem imposto,Total imposto,Pagamento,Pendente,Nome alojamento,Localidade,Portal,Comissão portal/intermediário: comissão calculada,Comissão portal/intermediário: comissão personalizada
1,23-12-2022,15-01-2023,26-01-2023,584.0700000000001,584.0700000000001,0,183,183,0,767.0700000000001,767.0700000000001,0,767.0700000000001,0,154,Florianópolis,Booking.com,,99.72000122070312
2,16-12-2022,05-01-2023,10-01-2023,3052.2,3052.2,0,180,180,0,3232.2,3232.2,0,3232.2,0,214,Balneário Camboriú,Booking.com,,420.1900024414062
3,28-12-2022,27-12-2022,04-01-2023,1286,1286,0,192,192,0,1478,1478,0,1478,0,364,Florianópolis,Airbnb.com,0,
4,28-11-2022,21-01-2023,30-01-2023,2585.52,2585.52,0,282,282,0,2867.52,2867.52,0,2867.52,0,238,Florianópolis,Booking.com,,372.7799987792969
5,02-12-2022,10-12-2022,13-12-2022,2916,2916,0,348,348,0,3264,3264,0,3264,0,112,Florianópolis,Airbnb.com,0,
6,11-12-2022,17-01-2023,30-01-2023,3616,3616,0,453,453,0,4069,4069,0,4069,0,307,Balneário Camboriú,Airbnb.com,0,
7,06-12-2022,18-12-2022,19-12-2022,1378.64,1378.64,0,185,185,0,1563.64,1563.64,0,1563.64,0,388,Florianópolis,Booking.com,,203.2700042724609
8,05-01-2023,05-02-2023,11-02-2023,1041.04,1041.04,0,185,185,0,1226.04,1226.04,0,1226.04,0,384,Florianópolis,Booking.com,,159.3899993896484
9,09-01-2023,15-02-2023,21-02-2023,1669.73,1669.73,0,232,232,0,1901.73,1901.73,0,1901.73,0,130,Florianópolis,Booking.com,,247.2200012207031
10,16-12-2022,04-01-2023,08-01-2023,2103,2103,0,315,315,0,2418,2418,0,2418,0,246,Florianópolis,Airbnb.com,0,
11,14-12-2022,11-01-2023,26-01-2023,1574,1574,0,207,207,0,1781,1781,0,1781,0,356,Florianópolis,Airbnb.com,0,
12,13-01-2023,29-01-2023,05-02-2023,8325,8325,0,305,305,0,8630,8630,0,8630,0,348,Florianópolis,Airbnb.com,0,
13,15-12-2022,14-01-2023,21-01-2023,1377,1377,0,206,206,0,1583,1583,0,1583,0,123,Florianópolis,Airbnb.com,0,
14,07-12-2022,07-12-2022,08-12-2022,1927,1927,0,265,265,0,2192,2192,0,2192,0,314,Balneário Camboriú,Airbnb.com,0,
15,23-12-2022,14-01-2023,15-01-2023,2131,2131,0,263,263,0,2394,2394,0,2394,0,264,Florianópolis,Airbnb.com,0,
16,04-01-2023,18-01-2023,19-01-2023,1890.11,1890.11,0,165,165,0,2055.11,2055.11,0,2055.11,0,212,Florianópolis,Booking.com,,267.1600036621094
17,04-12-2022,04-12-2022,05-12-2022,1995,1995,0,453,453,0,2448,2448,0,2448,0,130,Florianópolis,Airbnb.com,0,
18,04-12-2022,09-12-2022,12-12-2022,1930,1930,0,228,228,0,2158,2158,0,2158,0,153,Florianópolis,Airbnb.com,0,
19,02-01-2023,16-02-2023,03-03-2023,2794,2794,0,172,172,0,2966,2966,0,2966,0,323,Florianópolis,Airbnb.com,0,
20,04-01-2023,09-01-2023,10-01-2023,233,233,0,0,0,0,233,233,0,0,233,246,Florianópolis,,,
21,24-01-2023,28-01-2023,05-02-2023,0,0,0,289,289,0,289,289,0,0,289,279,Florianópolis,,,
22,19-01-2023,20-01-2023,23-01-2023,1019,1019,0,344,344,0,1363,1363,0,1363,0,254,Florianópolis,Airbnb.com,0,
23,25-01-2023,31-01-2023,08-02-2023,1295.21,1295.21,0,151,151,0,1446.21,1446.21,0,1446.21,0,374,Florianópolis,Booking.com,,188.0099945068359
24,29-11-2022,29-12-2022,04-01-2023,1490,1490,0,263,263,0,1753,1753,0,1753,0,107,Florianópolis,Airbnb.com,0,
25,12-01-2023,12-02-2023,25-02-2023,5370,5370,0,290,290,0,5660,5660,0,5660,0,204,Florianópolis,Airbnb.com,0,
